2019-01-13 19:13:36 ===== Starting: ShallowRedExperiment =====
2019-01-13 19:13:47 Run
2019-01-13 19:44:31 id = 1 (machine1); Seed = 166; Starting new sample
2019-01-13 19:44:33 id = 5 (machine1); Seed = 161; Done (0)
2019-01-13 19:44:33 id = 5 (machine1); Seed = 167; Starting new sample
2019-01-13 19:44:47 id = 2 (machine1); Seed = 163; Done (0)
2019-01-13 19:44:48 id = 2 (machine1); Seed = 168; Starting new sample
2019-01-13 19:45:03 id = 0 (machine1); Seed = 164; Done (0)
2019-01-13 19:45:03 id = 0 (machine1); Seed = 169; Starting new sample
2019-01-13 19:45:03 id = 4 (machine1); Seed = 162; Done (0)
2019-01-13 19:45:03 id = 4 (machine1); Seed = 170; Starting new sample
2019-01-13 19:45:28 id = 3 (machine1); Seed = 165; Done (0)
2019-01-13 19:45:28 id = 3 (machine1); Seed = 171; Starting new sample
2019-01-13 19:45:31 id = 5 (machine1); Seed = 167; Done (0)
2019-01-13 19:45:31 id = 5 (machine1); Seed = 172; Starting new sample
2019-01-13 19:46:11 id = 1 (machine1); Seed = 166; Done (0)
2019-01-13 19:46:11 id = 1 (machine1); Seed = 173; Starting new sample
2019-01-13 19:46:15 id = 0 (machine1); Seed = 169; Done (0)
2019-01-13 19:46:15 id = 0 (machine1); Seed = 174; Starting new sample
2019-01-13 19:46:19 id = 4 (machine1); Seed = 170; Done (0)
2019-01-13 19:46:19 id = 4 (machine1); Seed = 175; Starting new sample
2019-01-13 19:46:33 id = 2 (machine1); Seed = 168; Done (0)
2019-01-13 19:46:33 id = 2 (machine1); Seed = 176; Starting new sample
2019-01-13 19:46:42 id = 5 (machine1); Seed = 172; Done (0)
2019-01-13 19:46:42 id = 5 (machine1); Seed = 177; Starting new sample
2019-01-13 19:46:46 id = 3 (machine1); Seed = 171; Done (0)
2019-01-13 19:46:46 id = 3 (machine1); Seed = 178; Starting new sample
2019-01-13 19:47:06 id = 4 (machine1); Seed = 175; Done (0)
2019-01-13 19:47:06 id = 4 (machine1); Seed = 179; Starting new sample
2019-01-13 19:47:31 id = 0 (machine1); Seed = 174; Done (0)
2019-01-13 19:47:31 id = 0 (machine1); Seed = 180; Starting new sample
2019-01-13 19:47:32 id = 1 (machine1); Seed = 173; Done (0)
2019-01-13 19:47:32 id = 1 (machine1); Seed = 181; Starting new sample
2019-01-13 19:47:49 id = 3 (machine1); Seed = 178; Done (0)
2019-01-13 19:47:49 id = 3 (machine1); Seed = 182; Starting new sample
2019-01-13 19:48:16 id = 4 (machine1); Seed = 179; Done (0)
2019-01-13 19:48:16 id = 4 (machine1); Seed = 183; Starting new sample
2019-01-13 19:48:20 id = 1 (machine1); Seed = 181; Done (0)
2019-01-13 19:48:20 id = 1 (machine1); Seed = 184; Starting new sample
2019-01-13 19:48:23 id = 2 (machine1); Seed = 176; Done (0)
